CLC18	SCS_A	SCS_B	SCS_C	SCS_D
111	100	100	100	100
112	100	100	100	100
121	100	100	100	100
122	100	100	100	100
123	100	100	100	100
124	100	100	100	100
131	82	91	96	99
132	82	91	96	99
133	77	86	91	94
141	30	58	71	78
142	40	68	81	88
211	64	76	84	88
221	64	73	79	82
222	45	66	77	83
231	49	69	79	84
242	40	68	81	88
243	30	53	66	68
311	36	60	73	79
312	36	60	73	79
313	36	60	73	79
321	30	58	71	78
322	30	58	71	78
324	45	66	77	83
331	50	60	70	80
332	100	100	100	100
333	68	79	86	89
334	70	80	90	100
335	70	80	90	100
411	30	58	71	78
412	30	58	71	78
421	30	58	71	78
423	30	58	71	78
511	68	79	86	89
512	100	100	100	100
521	100	100	100	100
522	100	100	100	100
523	100	100	100	100
